I,U
-0.025,0.15
-0.02,0.3
-0.015,0.45
-0.045,0.75
-0.025,1.2
-0.035,1.35
-0.035,1.65
-0.02,1.95
-0.025,2.1
-0.015,2.4
0.05,2.7
0.08,3
0.09,3.3
0.23,3.45
0.33,3.75
0.54,4.05
0.57,4.2
0.83,4.5
1.05,4.65
1.26,4.95
1.51,5.25
1.7,5.55
1.47,5.85
1.21,6
0.91,6.3
0.69,6.6
0.46,6.9
0.44,7.2
0.505,7.5
0.525,7.5
0.595,7.8
0.77,8.1
1.075,8.4
1.255,8.7
1.645,8.85
2.02,9.15
2.35,9.45
2.83,9.75
3.395,10.05
3.76,10.2
3.745,10.5
3.2,10.8
2.34,10.95
1.705,11.25
1.23,11.4
0.86,11.7
0.78,12
0.865,12.3
1.015,12.6
1.255,12.75
1.55,13.05
1.925,13.35
2.31,13.65
2.74,13.95
3.425,14.1
4.06,14.25
4.74,14.55
5.415,14.85
5.835,15.15
5.76,15.3
4.955,15.6
3.9,15.9
3.01,16.2
2.175,16.5
1.65,16.65
1.44,16.95
1.39,17.25
1.7,17.55
1.815,17.7
2.21,17.85
2.685,18.15
3.28,18.45
3.94,18.75
4.685,19.05
5.52,19.2
6.38,19.5
7.27,19.8
7.845,20.1
7.905,20.25
7.28,20.55
6.28,20.7
5.175,21
3.99,21.3
3.17,21.45
2.65,21.75
2.35,22.05
2.415,22.35
2.565,22.65
2.975,22.8
3.47,23.1
4.1,23.4
4.865,23.7
5.73,24
6.665,24
7.765,24.3
8.785,24.6
9.575,24.9
9.94,25.2
9.665,25.35
9.02,25.65
8.015,25.95
6.765,26.25
5.715,26.4
4.82,26.7
4.19,27
3.945,27.3
3.82,27.45
4.12,27.75
4.39,27.9
4.975,28.2
5.685,28.5
6.5,28.8
7.58,28.95
8.7,29.25
9.85,29.55
10.245,29.85
10.245,30.15
10.245,30.3
10.245,30.6
10.245,30.75
10.245,31.05
9.215,31.35
8.135,31.5
7.28,31.8
7.29,31.95
7.27,31.95
7.28,31.95
7.3,31.95
7.275,31.95
7.23,31.95
7.28,31.95
7.365,31.95
7.255,31.95
7.225,31.95
7.255,31.95
7.25,31.95
7.25,31.95
7.24,31.95
7.23,31.95
7.23,31.95
7.235,31.95
7.225,31.95
7.215,31.95
7.19,31.95
7.22,31.95
7.22,31.95
7.185,31.95
7.205,31.95
7.2,31.95
