I,U
-0.04,0.15
-0.035,0.3
-0.035,1.2
-0.045,1.5
-0.035,1.35
-0.03,1.5
-0.025,1.65
-0.04,1.95
-0.04,2.25
-0.035,2.55
-0.03,2.85
-0.03,3.15
-0.02,3.45
-0.02,3.75
0.005,3.9
0.005,4.05
0.02,4.35
0.05,4.65
0.1,4.95
0.12,5.1
0.185,5.4
0.225,5.7
0.185,6
0.115,6.15
0.065,6.45
0.045,6.75
0.015,6.9
0,7.2
-0.005,7.35
0.005,7.65
-0.005,7.95
0.01,8.25
0.04,8.4
0.08,8.7
0.16,9
0.245,9.3
0.395,9.45
0.58,9.75
0.77,10.05
0.87,10.35
0.855,10.5
0.645,10.65
0.425,10.95
0.22,11.25
0.08,11.55
0.015,11.85
0,12
0.005,12.3
0.02,12.6
0.05,12.9
0.13,13.05
0.235,13.35
0.345,13.65
0.495,13.95
0.69,14.1
0.925,14.4
1.185,14.55
1.42,14.85
1.595,15.15
1.48,15.45
1.2,15.6
0.84,15.9
0.51,16.2
0.255,16.5
0.105,16.8
0.035,16.95
0.05,17.25
0.09,17.4
0.13,17.7
0.26,18
0.425,18.15
0.635,18.45
0.915,18.75
1.25,19.05
1.545,19.35
1.905,19.5
2.205,19.8
2.38,20.1
2.29,20.4
1.94,20.55
1.475,20.7
0.97,21
0.665,21.3
0.375,21.6
0.235,21.75
0.24,22.05
0.22,22.35
0.36,22.65
0.445,22.95
0.67,23.1
0.935,23.4
1.245,23.7
1.615,24
2.095,24.15
2.535,24.3
2.935,24.6
3.215,24.9
3.225,25.2
2.935,25.35
2.44,25.65
1.895,25.95
1.34,26.25
0.91,26.55
0.635,26.7
0.53,27
0.39,27.3
0.495,27.45
0.75,27.75
0.895,27.9
1.195,28.2
1.56,28.5
2.02,28.8
2.435,28.95
2.965,29.25
3.485,29.55
3.9,29.85
4.075,30.15
3.985,30.3
3.545,30.6
3.135,30.75
2.515,31.05
1.96,31.35
1.48,31.5
1.145,31.8
1.13,31.95
1.135,31.95
1.13,31.95
1.12,31.95
1.125,31.95
1.13,31.95
1.235,31.95
1.185,31.95
1.185,31.95
1.19,31.95
1.145,31.95
1.155,31.95
1.14,31.95
1.145,31.95
1.14,31.95
1.15,31.95
1.155,31.95
1.14,31.95
1.19,31.95
1.18,31.95
1.2,31.95
1.165,31.95
1.14,31.95
1.15,31.95
1.155,31.95
1.16,31.95
