I,U
-0.025,0.15
-0.02,0.3
-0.01,2.1
-0.03,1.5
0,1.65
-0.02,1.95
-0.02,2.25
-0.01,1.95
0.015,2.1
-0.005,2.4
0,2.7
0.035,3
0.015,3.15
0.025,3.45
0.03,3.75
0.105,4.05
0.17,4.35
0.25,4.5
0.255,4.65
0.36,4.95
0.465,5.25
0.605,5.55
0.515,5.7
0.42,6
0.295,6.3
0.18,6.6
0.185,6.9
0.135,7.05
0.08,7.35
0.13,7.65
0.065,7.95
0.155,8.1
0.225,8.4
0.32,8.55
0.455,8.85
0.6,9.15
0.825,9.45
1.02,9.75
1.165,9.9
1.42,10.2
1.37,10.5
1.17,10.8
0.95,11.1
0.63,11.25
0.465,11.4
0.155,11.7
0.22,12
0.18,12.3
0.225,12.45
0.34,12.75
0.39,13.05
0.585,13.35
0.755,13.5
0.89,13.8
1.14,14.1
1.415,14.4
1.715,14.7
2.035,14.85
2.225,15
2.255,15.3
1.975,15.6
1.62,15.9
1.19,16.05
0.77,16.35
0.535,16.65
0.385,16.95
0.41,17.25
0.39,17.4
0.52,17.7
0.585,18
0.845,18.15
0.975,18.45
1.345,18.6
1.64,18.9
2.01,19.2
2.445,19.5
2.85,19.65
3.135,19.95
3.19,20.25
2.96,20.55
2.535,20.85
1.96,21
1.48,21.3
1.095,21.45
0.825,21.75
0.67,22.05
0.655,22.2
0.715,22.5
0.85,22.8
1.04,23.1
1.28,23.4
1.605,23.55
1.92,23.85
2.445,24.15
2.945,24.45
3.345,24.6
3.845,24.75
4.05,25.05
4.005,25.35
3.665,25.65
3.165,25.8
2.56,26.1
2.015,26.4
1.585,26.7
1.215,27
1.11,27.15
1.04,27.45
1.12,27.75
1.27,27.9
1.5,28.2
1.815,28.35
2.21,28.65
2.655,28.95
3.22,29.25
3.785,29.4
4.31,29.7
4.62,30
4.855,30.3
4.775,30.6
4.445,30.75
3.935,31.05
3.365,31.2
2.82,31.5
2.355,31.8
2.34,31.95
2.335,31.95
2.335,31.95
2.26,31.95
2.33,31.95
2.32,31.95
2.315,31.95
2.32,31.95
2.345,31.95
2.34,31.95
2.27,31.95
2.33,31.95
2.305,31.95
2.285,31.95
2.325,31.95
1.925,31.95
2.315,31.95
1.855,31.95
2.1,31.95
1.925,31.95
1.965,31.95
2.32,31.95
1.83,31.95
2.255,31.95
1.915,31.95
