I,U
-0.035,0.15
-0.02,0.45
-0.035,0.75
0,0.9
-0.025,1.05
0.005,1.35
-0.01,1.65
0.01,1.95
0.02,2.25
0.005,2.55
0.01,2.7
0.03,3
0.005,3.3
0.015,3.6
0.025,3.9
0.05,4.05
0.04,4.35
0.125,4.5
0.115,4.8
0.275,5.1
0.395,5.25
0.36,5.55
0.335,5.85
0.315,6.15
0.16,6.45
0.185,6.6
0.14,6.9
0.065,7.2
0.065,7.5
0.115,7.8
0.09,7.8
0.125,8.1
0.185,8.4
0.245,8.7
0.38,9
0.49,9.15
0.515,9.45
0.75,9.75
0.78,10.05
0.92,10.35
0.85,10.5
0.75,10.8
0.5,11.1
0.25,11.4
0.275,11.55
0.17,11.7
0.14,12
0.145,12.3
0.23,12.6
0.26,12.9
0.335,13.05
0.355,13.35
0.455,13.65
0.65,13.95
0.705,14.1
0.915,14.4
1.01,14.7
1.305,14.85
1.21,15.15
1.27,15.3
1.075,15.6
0.83,15.9
0.6,16.2
0.43,16.5
0.38,16.65
0.33,16.95
0.22,17.25
0.245,17.55
0.3,17.85
0.405,18
0.57,18.15
0.695,18.45
0.8,18.75
1.03,19.05
1.235,19.2
1.4,19.5
1.61,19.8
1.725,20.1
1.655,20.25
1.485,20.55
1.24,20.85
1.05,21.15
0.7,21.45
0.58,21.45
0.505,21.75
0.42,22.05
0.415,22.35
0.455,22.65
0.565,22.8
0.645,23.1
0.745,23.4
0.915,23.7
1.175,24
1.4,24.15
1.655,24.45
1.83,24.75
2.065,24.9
2.11,25.05
2.025,25.35
1.855,25.65
1.585,25.95
1.2,26.25
0.96,26.4
0.77,26.7
0.695,27
0.64,27.3
0.635,27.6
0.67,27.75
0.66,28.05
0.885,28.2
1.055,28.5
1.25,28.8
1.51,28.95
1.71,29.25
1.955,29.55
2.235,29.85
2.365,30
2.375,30.3
2.275,30.6
2.075,30.9
1.82,31.2
1.555,31.2
1.33,31.5
1.15,31.8
1.14,31.95
1.075,31.95
1.08,31.95
1.17,31.95
1.155,31.95
1.15,31.95
1.14,31.95
1.135,31.95
1.13,31.95
1.125,31.95
1.12,31.95
1.105,31.95
1.115,31.95
1.055,31.95
1.12,31.95
1.105,31.95
0.99,31.95
0.685,31.95
0.835,31.95
0.855,31.95
0.65,31.95
1.035,31.95
0.6,31.95
0.735,31.95
0.695,31.95
