I,U
0.015,0.15
0.01,0.45
0.045,0.45
0.01,0.75
0.045,1.05
0.045,1.35
0.05,1.65
0.065,1.8
0.07,2.1
0.08,2.4
0.14,2.7
0.135,3
0.105,3.15
0.085,3.45
0.135,3.75
0.125,4.05
0.15,4.2
0.155,4.35
0.265,4.65
0.315,4.95
0.38,5.25
0.42,5.55
0.415,5.7
0.38,6
0.38,6.3
0.265,6.6
0.22,6.9
0.195,7.05
0.175,7.35
0.185,7.5
0.225,7.8
0.25,8.1
0.28,8.25
0.335,8.55
0.39,8.85
0.47,9.15
0.495,9.45
0.61,9.6
0.735,9.9
0.82,10.2
0.845,10.5
0.775,10.8
0.69,10.95
0.525,11.1
0.43,11.4
0.36,11.7
0.315,12
0.285,12.15
0.24,12.45
0.28,12.75
0.33,13.05
0.4,13.35
0.495,13.5
0.67,13.8
0.795,14.1
0.945,14.4
1.12,14.55
1.275,14.7
1.415,15
1.39,15.3
1.165,15.6
0.915,15.9
0.68,16.05
0.505,16.35
0.38,16.65
0.35,16.95
0.36,17.25
0.38,17.4
0.435,17.7
0.52,17.85
0.62,18.15
0.68,18.45
0.855,18.6
1.065,18.9
1.26,19.2
1.515,19.5
1.81,19.65
1.95,19.95
1.925,20.25
1.695,20.55
1.37,20.7
1.055,21
0.75,21.15
0.53,21.45
0.42,21.75
0.375,22.05
0.395,22.2
0.46,22.5
0.57,22.8
0.75,23.1
0.93,23.25
1.14,23.55
1.385,23.85
1.665,24.15
2,24.45
2.21,24.45
2.38,24.75
2.41,25.05
2.245,25.35
1.975,25.65
1.58,25.8
1.14,26.1
0.84,26.4
0.64,26.7
0.52,26.85
0.55,27.15
0.59,27.45
0.7,27.75
0.805,27.9
1.01,28.05
1.22,28.35
1.51,28.65
1.905,28.95
2.265,29.25
2.615,29.4
2.915,29.7
3.03,30
2.94,30.3
2.655,30.45
2.29,30.75
1.85,30.9
1.445,31.2
1.15,31.5
0.825,31.65
0.83,31.95
0.85,31.95
0.835,31.95
0.815,31.95
0.825,31.95
0.81,31.95
0.84,31.95
0.835,31.95
0.83,31.95
0.825,31.95
0.85,31.95
0.835,31.95
0.85,31.95
0.77,31.95
0.83,31.95
0.82,31.95
0.815,31.95
0.82,31.95
0.795,31.95
0.795,31.95
0.79,31.95
0.785,31.95
0.73,31.95
0.81,31.95
0.775,31.95
0.7,31.95
