I,U
-0.01,0.15
-0.015,1.05
0.01,0.75
-0.015,0.9
0.03,1.05
0.025,1.35
0.03,1.65
0.03,1.95
0,2.1
0.035,2.4
0.02,2.7
0,3
0.04,3.3
0.045,3.6
0.08,3.75
0.145,4.05
0.23,4.35
0.43,4.65
0.555,4.8
0.72,4.95
0.96,5.25
1.18,5.55
1.08,5.85
0.81,6.15
0.615,6.3
0.33,6.6
0.23,6.9
0.13,7.2
0.06,7.5
0.035,7.65
0.085,7.95
0.045,8.1
0.285,8.4
0.32,8.7
0.495,8.85
0.815,9.15
1.19,9.45
1.63,9.75
2.21,10.05
2.62,10.2
2.655,10.5
2.33,10.8
1.7,11.1
1.085,11.4
0.06,11.4
0.215,11.7
0.115,12
0.045,12.3
0.02,12.6
0.035,12.75
0.16,13.05
0.37,13.35
0.68,13.65
1.07,13.95
1.555,14.1
2.205,14.4
2.895,14.7
3.63,14.85
4.265,15.15
4.34,15.3
3.785,15.6
2.92,15.9
1.985,16.2
1.205,16.5
0.655,16.65
0.285,16.95
0.12,17.25
0.065,17.55
0.11,17.85
0.25,18
0.58,18.15
1.025,18.45
1.535,18.75
2.225,19.05
3.055,19.2
3.985,19.5
4.965,19.8
5.745,20.1
6.05,20.25
5.675,20.55
4.795,20.85
3.745,21.15
2.65,21.45
1.77,21.45
1.1,21.75
0.68,22.05
0.43,22.35
0.4,22.65
0.56,22.8
0.84,23.1
1.275,23.4
1.885,23.7
2.675,24
3.675,24.15
4.765,24.45
5.94,24.75
6.98,24.9
7.66,25.2
7.705,25.35
7.195,25.65
6.245,25.95
5.035,26.25
3.805,26.4
2.79,26.7
2.015,27
1.525,27.3
1.295,27.6
1.185,27.75
1.38,27.9
1.7,28.2
2.24,28.5
3.055,28.8
4.055,28.95
5.265,29.25
6.555,29.55
7.84,29.85
8.935,30.15
9.605,30.3
9.605,30.6
9.205,30.9
8.17,31.2
6.995,31.35
5.795,31.5
4.985,31.8
5.005,31.95
4.99,31.95
5.06,31.95
4.995,31.95
5.045,31.95
5.075,31.95
5.09,31.95
5.07,31.95
5.16,31.95
5.175,31.95
5.115,31.95
5.055,31.95
5.22,31.95
5.17,31.95
5.115,31.95
5.115,31.95
5.17,31.95
5.17,31.95
5.19,31.95
5.125,31.95
5.205,31.95
5.15,31.95
5.14,31.95
5.23,31.95
5.105,31.95
