I,U
-0.035,0.15
-0.04,0.45
-0.035,0.6
-0.02,0.9
-0.035,1.05
-0.03,1.35
-0.04,1.65
-0.025,1.95
-0.035,2.1
-0.035,2.4
-0.03,2.7
-0.025,3
-0.02,3.3
0,3.45
0.005,3.75
0.03,4.05
0.075,4.35
0.14,4.65
0.225,4.65
0.345,4.95
0.45,5.25
0.52,5.55
0.465,5.85
0.355,6
0.185,6.3
0.105,6.6
0.055,6.9
0.02,7.2
0.02,7.35
0.035,7.65
0.07,7.95
0.13,8.1
0.225,8.4
0.38,8.7
0.49,8.85
0.66,9.15
0.885,9.45
1.065,9.75
1.335,9.9
1.475,10.2
1.485,10.5
1.25,10.8
0.935,11.1
0.535,11.25
0.39,11.4
0.285,11.7
0.235,12
0.265,12.3
0.27,12.45
0.455,12.75
0.535,13.05
0.79,13.35
0.935,13.65
1.23,13.8
1.445,14.1
1.82,14.4
2.11,14.7
2.45,14.85
2.62,15
2.65,15.3
2.345,15.6
1.8,15.9
1.21,16.2
0.91,16.35
0.63,16.65
0.585,16.95
0.545,17.25
0.64,17.55
0.825,17.7
0.985,18
1.22,18.15
1.42,18.45
1.835,18.75
2.21,18.9
2.64,19.2
3.095,19.5
3.54,19.8
3.86,19.95
3.925,20.25
3.57,20.55
2.985,20.85
2.335,21.15
1.68,21.3
1.34,21.45
1.055,21.75
1.015,22.05
1.01,22.35
1.145,22.5
1.375,22.8
1.63,23.1
1.975,23.4
2.375,23.55
2.82,23.85
3.345,24.15
3.91,24.45
4.465,24.6
4.89,24.75
5.075,25.05
4.905,25.35
4.415,25.65
3.78,25.95
3.105,26.1
2.46,26.4
2.025,26.7
1.76,27
1.635,27.15
1.66,27.45
1.805,27.75
2.035,27.9
2.36,28.2
2.78,28.5
3.265,28.65
3.85,28.95
4.485,29.25
5.135,29.55
5.71,29.7
6.095,30
6.2,30.3
5.98,30.6
5.52,30.75
4.86,31.05
4.16,31.2
3.57,31.5
3.075,31.8
3.05,31.95
3.045,31.95
3.045,31.95
3.05,31.95
3.015,31.95
3.045,31.95
3.035,31.95
3.045,31.95
3.04,31.95
3.06,31.95
2.715,31.95
3.06,31.95
2.68,31.95
2.985,31.95
3.025,31.95
2.835,31.95
3.075,31.95
2.68,31.95
3.055,31.95
2.69,31.95
2.885,31.95
3.08,31.95
2.7,31.95
3.035,31.95
2.685,31.95
