I,U
0.17,0.75
0.01,0.6
0.055,0.75
0.035,0.75
0.01,1.05
0.225,1.35
0.045,3.3
0,1.95
0.03,2.25
0.035,2.4
0.005,2.7
0.045,3
0.045,3.3
0.045,3.45
0.025,3.75
0.07,4.05
0.12,4.35
0.09,4.5
0.185,4.65
0.095,4.95
0.2,5.25
0.145,5.55
0.195,5.85
0.14,6
0.05,6.3
0.055,6.6
0.03,6.9
0.03,7.2
0.025,7.35
0.025,7.65
0.01,7.8
0.04,8.1
0.06,8.4
0.085,8.55
0.115,8.85
0.155,9.15
0.22,9.45
0.225,9.75
0.36,9.9
0.43,10.2
0.44,10.5
0.355,10.8
0.24,10.95
0.215,11.25
0.05,11.4
0.025,11.7
0.015,12
0.005,12.3
0.015,12.45
0.02,12.75
0.055,13.05
0.095,13.35
0.13,13.65
0.205,13.8
0.315,14.1
0.405,14.4
0.515,14.7
0.63,14.7
0.78,15
0.705,15.3
0.605,15.6
0.435,15.9
0.26,16.05
0.14,16.35
0.07,16.65
0.05,16.95
0.04,17.25
0.055,17.4
0.075,17.7
0.12,18
0.19,18.15
0.3,18.45
0.41,18.6
0.495,18.9
0.645,19.2
0.8,19.5
0.955,19.65
1.065,19.95
1.12,20.25
0.995,20.55
0.815,20.85
0.61,21
0.4,21.3
0.285,21.45
0.205,21.75
0.175,22.05
0.23,22.2
0.21,22.5
0.335,22.8
0.36,23.1
0.45,23.4
0.585,23.55
0.72,23.85
0.905,24.15
1.1,24.45
1.235,24.6
1.5,24.75
1.585,25.05
1.495,25.35
1.34,25.65
1.145,25.8
0.96,26.1
0.755,26.4
0.605,26.7
0.515,27
0.475,27.15
0.495,27.45
0.53,27.75
0.595,27.9
0.7,28.2
0.82,28.35
0.985,28.65
1.175,28.95
1.375,29.25
1.59,29.4
1.77,29.7
1.88,30
1.97,30.3
1.87,30.6
1.75,30.75
1.565,31.05
1.42,31.2
1.16,31.5
1.045,31.8
1.01,31.95
1.02,31.95
1.02,31.95
1.025,31.95
1.025,31.95
1.03,31.95
1.04,31.95
1.04,31.95
1.045,31.95
1.045,31.95
1.08,31.95
0.96,31.95
1.04,31.95
1.04,31.95
1.045,31.95
1.04,31.95
1.115,31.95
1.06,31.95
1.07,31.95
1.08,31.95
1.065,31.95
1.075,31.95
0.98,31.95
1.065,31.95
1.07,31.95
1.07,31.95
