I,U
-0.035,0.15
-0.045,0.6
-0.05,0.6
-0.05,0.75
-0.05,1.05
-0.05,1.35
-0.05,1.65
-0.05,1.95
-0.045,2.1
-0.04,2.4
-0.035,2.7
-0.035,3
-0.035,3.3
-0.02,3.45
-0.015,3.75
-0.005,4.05
0.045,4.35
0.06,4.5
0.105,4.8
0.205,4.95
0.285,5.25
0.335,5.55
0.295,5.85
0.195,6.15
0.085,6.3
0.025,6.6
0,6.9
-0.005,7.2
-0.01,7.5
-0.005,7.65
0.015,7.8
0.055,8.1
0.1,8.4
0.215,8.7
0.29,8.85
0.425,9.15
0.585,9.45
0.57,9.75
0.95,10.05
1.11,10.2
1.14,10.5
0.915,10.8
0.64,11.1
0.325,11.25
0.13,11.55
0.08,11.7
0.095,12
0.075,12.3
0.125,12.6
0.255,12.75
0.365,13.05
0.46,13.35
0.685,13.65
0.83,13.95
1.055,14.1
1.315,14.4
1.655,14.55
1.87,14.85
2.055,15.15
1.99,15.3
1.635,15.6
1.32,15.9
0.935,16.2
0.58,16.5
0.455,16.65
0.33,16.95
0.345,17.25
0.42,17.55
0.605,17.85
0.695,17.85
0.89,18.15
1.13,18.45
1.4,18.75
1.785,19.05
2.055,19.2
2.43,19.5
2.765,19.8
3.115,20.1
3.1,20.25
2.745,20.55
2.335,20.85
1.795,21.15
1.415,21.3
0.93,21.45
0.925,21.75
0.86,22.05
0.88,22.35
1,22.65
1.155,22.8
1.385,23.1
1.6,23.4
1.985,23.7
2.31,24
2.79,24.15
3.175,24.45
3.675,24.6
4.005,24.9
4.125,25.2
3.925,25.35
3.595,25.65
3.08,25.95
2.53,26.25
2.07,26.55
1.66,26.7
1.505,27
1.42,27.3
1.47,27.6
1.495,27.75
1.77,27.9
2.01,28.2
2.36,28.5
2.74,28.8
3.21,28.95
3.72,29.25
4.22,29.55
4.68,29.85
4.945,30.15
5,30.3
4.825,30.6
4.455,30.9
3.95,31.05
3.42,31.35
2.965,31.5
2.64,31.8
2.595,31.95
2.575,31.95
2.58,31.95
2.615,31.95
2.605,31.95
2.605,31.95
2.57,31.95
2.59,31.95
2.59,31.95
2.58,31.95
2.59,31.95
2.57,31.95
2.575,31.95
2.565,31.95
2.52,31.95
2.545,31.95
2.545,31.95
2.46,31.95
2.525,31.95
2.525,31.95
2.51,31.95
2.51,31.95
2.43,31.95
2.415,31.95
2.49,31.95
2.475,31.95
