c
12
3
14
11
12
10
11
15
4
5
12
2
4
7
7
23
14
9
10
10
17
5
13
8
10
14
8
2
17
7
2
4
29
8
4
2
3
6
8
2
8
19
28
3
2
5
7
2
13
18
18
19
6
28
14
3
4
7
18
8
8
4
5
7
5
5
10
7
7
4
19
18
7
9
4
7
12
4
4
8
4
7
3
23
9
15
2
7
21
3
4
9
25
10
15
17
3
18
18
3
15
6
3
5
13
14
14
2
1
6
6
10
